                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8533,                 3.6344,                  2.141,                0.00962,                      1,                0.38179,                0.10593,                 1.6827,                 4.2454,                 2.1921,                      0,                      0,                      0
                      2,                 1.8517,                 3.7911,                 1.9457,                0.00973,                      1,                0.39621,                0.10304,                 1.6835,                 4.1986,                  2.181,             1.1169e-05,             1.1169e-05,             1.1169e-05
                      3,                 1.9519,                 3.7399,                  1.937,                0.00969,                      1,                0.40262,                0.10645,                 1.6788,                   4.34,                 2.1873,             1.1336e-05,             1.1336e-05,             1.1336e-05
