                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6105,                 3.3257,                 1.7146,                0.00887,                      1,                0.99368,                0.68259,                 1.0328,                 3.3401,                 1.4195,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.2805,                 1.9266,                 1.3772,                      1,                0.61298,                  0.995,                 0.7088,                  1.034,                 2.7959,                 1.2699,             0.00021221,             0.00021221,             0.00021221
                      3,                 1.0988,                 1.5932,                 1.2409,                      1,                 0.6822,                  0.995,                0.74284,                0.96159,                  2.703,                 1.2403,             0.00016437,             0.00016437,             0.00016437
